Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Outcome
2015-08-08T11:45:00+00:00,Manchester United,Tottenham,1,0,1
2015-08-08T14:00:00+00:00,Bournemouth,Aston Villa,0,1,2
2015-08-08T14:00:00+00:00,Norwich,Crystal Palace,1,3,2
2015-08-08T14:00:00+00:00,Leicester,Sunderland,4,2,1
2015-08-08T14:00:00+00:00,Everton,Watford,2,2,0
2015-08-08T16:30:00+00:00,Chelsea,Swansea,2,2,0
2015-08-09T12:30:00+00:00,Newcastle,Southampton,2,2,0
2015-08-09T12:30:00+00:00,Arsenal,West Ham,0,2,2
2015-08-09T15:00:00+00:00,Stoke City,Liverpool,0,1,2
2015-08-10T19:00:00+00:00,West Brom,Manchester City,0,3,2
2015-08-14T18:45:00+00:00,Aston Villa,Manchester United,0,1,2
2015-08-15T11:45:00+00:00,Southampton,Everton,0,3,2
2015-08-15T14:00:00+00:00,West Ham,Leicester,1,2,2
2015-08-15T14:00:00+00:00,Swansea,Newcastle,2,0,1
2015-08-15T14:00:00+00:00,Sunderland,Norwich,1,3,2
2015-08-15T14:00:00+00:00,Tottenham,Stoke City,2,2,0
2015-08-15T14:00:00+00:00,Watford,West Brom,0,0,0
2015-08-16T12:30:00+00:00,Crystal Palace,Arsenal,1,2,2
2015-08-16T15:00:00+00:00,Manchester City,Chelsea,3,0,1
2015-08-17T19:00:00+00:00,Liverpool,Bournemouth,1,0,1
2015-08-22T11:45:00+00:00,Manchester United,Newcastle,0,0,0
2015-08-22T14:00:00+00:00,Crystal Palace,Aston Villa,2,1,1
2015-08-22T14:00:00+00:00,West Ham,Bournemouth,3,4,2
2015-08-22T14:00:00+00:00,Norwich,Stoke City,1,1,0
2015-08-22T14:00:00+00:00,Sunderland,Swansea,1,1,0
2015-08-22T14:00:00+00:00,Leicester,Tottenham,1,1,0
2015-08-23T12:30:00+00:00,West Brom,Chelsea,2,3,2
2015-08-23T15:00:00+00:00,Everton,Manchester City,0,2,2
2015-08-23T15:00:00+00:00,Watford,Southampton,0,0,0
2015-08-24T19:00:00+00:00,Arsenal,Liverpool,0,0,0
2015-08-29T11:45:00+00:00,Newcastle,Arsenal,0,1,2
2015-08-29T14:00:00+00:00,Chelsea,Crystal Palace,1,2,2
2015-08-29T14:00:00+00:00,Bournemouth,Leicester,1,1,0
2015-08-29T14:00:00+00:00,Aston Villa,Sunderland,2,2,0
2015-08-29T14:00:00+00:00,Manchester City,Watford,2,0,1
2015-08-29T14:00:00+00:00,Stoke City,West Brom,0,1,2
2015-08-29T14:00:00+00:00,Liverpool,West Ham,0,3,2
2015-08-29T16:30:00+00:00,Tottenham,Everton,0,0,0
2015-08-30T12:30:00+00:00,Southampton,Norwich,3,0,1
2015-08-30T15:00:00+00:00,Swansea,Manchester United,2,1,1
2015-09-12T11:45:00+00:00,Everton,Chelsea,3,1,1
2015-09-12T14:00:00+00:00,Norwich,Bournemouth,3,1,1
2015-09-12T14:00:00+00:00,Crystal Palace,Manchester City,0,1,2
2015-09-12T14:00:00+00:00,West Brom,Southampton,0,0,0
2015-09-12T14:00:00+00:00,Arsenal,Stoke City,2,0,1
2015-09-12T14:00:00+00:00,Watford,Swansea,1,0,1
2015-09-12T16:30:00+00:00,Manchester United,Liverpool,3,1,1
2015-09-13T12:30:00+00:00,Sunderland,Tottenham,0,1,2
2015-09-13T15:00:00+00:00,Leicester,Aston Villa,3,2,1
2015-09-14T19:00:00+00:00,West Ham,Newcastle,2,0,1
2015-09-19T11:45:00+00:00,Chelsea,Arsenal,2,0,1
2015-09-19T14:00:00+00:00,Swansea,Everton,0,0,0
2015-09-19T14:00:00+00:00,Stoke City,Leicester,2,2,0
2015-09-19T14:00:00+00:00,Bournemouth,Sunderland,2,0,1
2015-09-19T14:00:00+00:00,Newcastle,Watford,1,2,2
2015-09-19T14:00:00+00:00,Aston Villa,West Brom,0,1,2
2015-09-19T16:30:00+00:00,Manchester City,West Ham,1,2,2
2015-09-20T12:30:00+00:00,Tottenham,Crystal Palace,1,0,1
2015-09-20T15:00:00+00:00,Southampton,Manchester United,2,3,2
2015-09-20T15:00:00+00:00,Liverpool,Norwich,1,1,0
2015-09-26T11:45:00+00:00,Tottenham,Manchester City,4,1,1
2015-09-26T14:00:00+00:00,Leicester,Arsenal,2,5,2
2015-09-26T14:00:00+00:00,Liverpool,Aston Villa,3,2,1
2015-09-26T14:00:00+00:00,Stoke City,Bournemouth,2,1,1
2015-09-26T14:00:00+00:00,West Ham,Norwich,2,2,0
2015-09-26T14:00:00+00:00,Manchester United,Sunderland,3,0,1
2015-09-26T14:00:00+00:00,Southampton,Swansea,3,1,1
2015-09-26T16:30:00+00:00,Newcastle,Chelsea,2,2,0
2015-09-27T15:00:00+00:00,Watford,Crystal Palace,0,1,2
2015-09-28T19:00:00+00:00,West Brom,Everton,2,3,2
2015-10-03T11:45:00+00:00,Crystal Palace,West Brom,2,0,1
2015-10-03T14:00:00+00:00,Norwich,Leicester,1,2,2
2015-10-03T14:00:00+00:00,Manchester City,Newcastle,6,1,1
2015-10-03T14:00:00+00:00,Aston Villa,Stoke City,0,1,2
2015-10-03T14:00:00+00:00,Bournemouth,Watford,1,1,0
2015-10-03T14:00:00+00:00,Sunderland,West Ham,2,2,0
2015-10-03T16:30:00+00:00,Chelsea,Southampton,1,3,2
2015-10-04T12:30:00+00:00,Everton,Liverpool,1,1,0
2015-10-04T15:00:00+00:00,Arsenal,Manchester United,3,0,1
2015-10-04T15:00:00+00:00,Swansea,Tottenham,2,2,0
2015-10-17T11:45:00+00:00,Tottenham,Liverpool,0,0,0
2015-10-17T14:00:00+00:00,Chelsea,Aston Villa,2,0,1
2015-10-17T14:00:00+00:00,Manchester City,Bournemouth,5,1,1
2015-10-17T14:00:00+00:00,Southampton,Leicester,2,2,0
2015-10-17T14:00:00+00:00,Everton,Manchester United,0,3,2
2015-10-17T14:00:00+00:00,West Brom,Sunderland,1,0,1
2015-10-17T14:00:00+00:00,Crystal Palace,West Ham,1,3,2
2015-10-17T16:30:00+00:00,Watford,Arsenal,0,3,2
2015-10-18T15:00:00+00:00,Newcastle,Norwich,6,2,1
2015-10-19T19:00:00+00:00,Swansea,Stoke City,0,1,2
2015-10-24T14:00:00+00:00,West Ham,Chelsea,2,1,1
2015-10-24T14:00:00+00:00,Leicester,Crystal Palace,1,0,1
2015-10-24T14:00:00+00:00,Aston Villa,Swansea,1,2,2
2015-10-24T14:00:00+00:00,Stoke City,Watford,0,2,2
2015-10-24T14:00:00+00:00,Norwich,West Brom,0,1,2
2015-10-24T16:30:00+00:00,Arsenal,Everton,2,1,1
2015-10-25T11:00:00+00:00,Sunderland,Newcastle,3,0,1
2015-10-25T13:05:00+00:00,Manchester United,Manchester City,0,0,0
2015-10-25T13:05:00+00:00,Bournemouth,Tottenham,1,5,2
2015-10-25T15:15:00+00:00,Liverpool,Southampton,1,1,0
2015-10-31T12:45:00+00:00,Chelsea,Liverpool,1,3,2
2015-10-31T15:00:00+00:00,Swansea,Arsenal,0,3,2
2015-10-31T15:00:00+00:00,West Brom,Leicester,2,3,2
2015-10-31T15:00:00+00:00,Crystal Palace,Manchester United,0,0,0
2015-10-31T15:00:00+00:00,Manchester City,Norwich,2,1,1
2015-10-31T15:00:00+00:00,Newcastle,Stoke City,0,0,0
2015-10-31T15:00:00+00:00,Watford,West Ham,2,0,1
2015-11-01T13:30:00+00:00,Everton,Sunderland,6,2,1
2015-11-01T16:00:00+00:00,Southampton,Bournemouth,2,0,1
2015-11-02T20:00:00+00:00,Tottenham,Aston Villa,3,1,1
2015-11-07T12:45:00+00:00,Bournemouth,Newcastle,0,1,2
2015-11-07T15:00:00+00:00,West Ham,Everton,1,1,0
2015-11-07T15:00:00+00:00,Sunderland,Southampton,0,1,2
2015-11-07T15:00:00+00:00,Norwich,Swansea,1,0,1
2015-11-07T15:00:00+00:00,Leicester,Watford,2,1,1
2015-11-07T15:00:00+00:00,Manchester United,West Brom,2,0,1
2015-11-07T17:30:00+00:00,Stoke City,Chelsea,1,0,1
2015-11-08T13:30:00+00:00,Aston Villa,Manchester City,0,0,0
2015-11-08T16:00:00+00:00,Liverpool,Crystal Palace,1,2,2
2015-11-08T16:00:00+00:00,Arsenal,Tottenham,1,1,0
2015-11-21T12:45:00+00:00,Watford,Manchester United,1,2,2
2015-11-21T15:00:00+00:00,West Brom,Arsenal,2,1,1
2015-11-21T15:00:00+00:00,Everton,Aston Villa,4,0,1
2015-11-21T15:00:00+00:00,Swansea,Bournemouth,2,2,0
2015-11-21T15:00:00+00:00,Newcastle,Leicester,0,3,2
2015-11-21T15:00:00+00:00,Chelsea,Norwich,1,0,1
2015-11-21T15:00:00+00:00,Southampton,Stoke City,0,1,2
2015-11-21T17:30:00+00:00,Manchester City,Liverpool,1,4,2
2015-11-22T16:00:00+00:00,Tottenham,West Ham,4,1,1
2015-11-23T20:00:00+00:00,Crystal Palace,Sunderland,0,1,2
2015-11-28T15:00:00+00:00,Bournemouth,Everton,3,3,0
2015-11-28T15:00:00+00:00,Crystal Palace,Newcastle,5,1,1
2015-11-28T15:00:00+00:00,Manchester City,Southampton,3,1,1
2015-11-28T15:00:00+00:00,Sunderland,Stoke City,2,0,1
2015-11-28T15:00:00+00:00,Aston Villa,Watford,2,3,2
2015-11-28T17:30:00+00:00,Leicester,Manchester United,1,1,0
2015-11-29T12:00:00+00:00,Tottenham,Chelsea,0,0,0
2015-11-29T14:05:00+00:00,West Ham,West Brom,1,1,0
2015-11-29T16:15:00+00:00,Norwich,Arsenal,1,1,0
2015-11-29T16:15:00+00:00,Liverpool,Swansea,1,0,1
2015-12-05T12:45:00+00:00,Stoke City,Manchester City,2,0,1
2015-12-05T15:00:00+00:00,Southampton,Aston Villa,1,1,0
2015-12-05T15:00:00+00:00,Swansea,Leicester,0,3,2
2015-12-05T15:00:00+00:00,Watford,Norwich,2,0,1
2015-12-05T15:00:00+00:00,Arsenal,Sunderland,3,1,1
2015-12-05T15:00:00+00:00,West Brom,Tottenham,1,1,0
2015-12-05T15:00:00+00:00,Manchester United,West Ham,0,0,0
2015-12-05T17:30:00+00:00,Chelsea,Bournemouth,0,1,2
2015-12-06T16:00:00+00:00,Newcastle,Liverpool,2,0,1
2015-12-07T20:00:00+00:00,Everton,Crystal Palace,1,1,0
2015-12-12T12:45:00+00:00,Norwich,Everton,1,1,0
2015-12-12T15:00:00+00:00,Crystal Palace,Southampton,1,0,1
2015-12-12T15:00:00+00:00,West Ham,Stoke City,0,0,0
2015-12-12T15:00:00+00:00,Manchester City,Swansea,2,1,1
2015-12-12T15:00:00+00:00,Sunderland,Watford,0,1,2
2015-12-12T17:30:00+00:00,Bournemouth,Manchester United,2,1,1
2015-12-13T13:30:00+00:00,Aston Villa,Arsenal,0,2,2
2015-12-13T16:00:00+00:00,Tottenham,Newcastle,1,2,2
2015-12-13T16:00:00+00:00,Liverpool,West Brom,2,2,0
2015-12-14T20:00:00+00:00,Leicester,Chelsea,2,1,1
2015-12-19T15:00:00+00:00,West Brom,Bournemouth,1,2,2
2015-12-19T15:00:00+00:00,Stoke City,Crystal Palace,1,2,2
2015-12-19T15:00:00+00:00,Everton,Leicester,2,3,2
2015-12-19T15:00:00+00:00,Manchester United,Norwich,1,2,2
2015-12-19T15:00:00+00:00,Chelsea,Sunderland,3,1,1
2015-12-19T15:00:00+00:00,Southampton,Tottenham,0,2,2
2015-12-19T17:30:00+00:00,Newcastle,Aston Villa,1,1,0
2015-12-20T13:30:00+00:00,Watford,Liverpool,3,0,1
2015-12-20T16:00:00+00:00,Swansea,West Ham,0,0,0
2015-12-21T20:00:00+00:00,Arsenal,Manchester City,2,1,1
2015-12-26T12:45:00+00:00,Stoke City,Manchester United,2,0,1
2015-12-26T15:00:00+00:00,Bournemouth,Crystal Palace,0,0,0
2015-12-26T15:00:00+00:00,Liverpool,Leicester,1,0,1
2015-12-26T15:00:00+00:00,Tottenham,Norwich,3,0,1
2015-12-26T15:00:00+00:00,Manchester City,Sunderland,4,1,1
2015-12-26T15:00:00+00:00,Chelsea,Watford,2,2,0
2015-12-26T15:00:00+00:00,Swansea,West Brom,1,0,1
2015-12-26T15:00:00+00:00,Aston Villa,West Ham,1,1,0
2015-12-26T17:30:00+00:00,Newcastle,Everton,0,1,2
2015-12-26T19:45:00+00:00,Southampton,Arsenal,4,0,1
2015-12-28T15:00:00+00:00,Norwich,Aston Villa,2,0,1
2015-12-28T15:00:00+00:00,West Brom,Newcastle,1,0,1
2015-12-28T15:00:00+00:00,Everton,Stoke City,3,4,2
2015-12-28T15:00:00+00:00,Crystal Palace,Swansea,0,0,0
2015-12-28T15:00:00+00:00,Watford,Tottenham,1,2,2
2015-12-28T17:30:00+00:00,Arsenal,Bournemouth,2,0,1
2015-12-28T17:30:00+00:00,Manchester United,Chelsea,0,0,0
2015-12-28T17:30:00+00:00,West Ham,Southampton,2,1,1
2015-12-29T19:45:00+00:00,Leicester,Manchester City,0,0,0
2015-12-30T19:45:00+00:00,Sunderland,Liverpool,0,1,2
2016-12-31T17:30:00+00:00,Liverpool,Manchester City,1,0,1
2016-12-31T15:00:00+00:00,Burnley,Sunderland,4,1,1
2016-12-31T15:00:00+00:00,Chelsea,Stoke City,4,2,1
2016-12-31T15:00:00+00:00,Leicester,West Ham,1,0,1
2016-12-31T15:00:00+00:00,Manchester United,Middlesbrough,2,1,1
2016-12-31T15:00:00+00:00,Southampton,West Brom,1,2,2
2016-12-31T15:00:00+00:00,Swansea,Bournemouth,0,3,2
2016-12-30T20:00:00+00:00,Hull City,Everton,2,2,0
2016-12-28T19:45:00+00:00,Southampton,Tottenham,1,4,2
2016-12-27T17:15:00+00:00,Liverpool,Stoke City,4,1,1
2016-12-26T17:15:00+00:00,Hull City,Manchester City,0,3,2
2016-12-26T15:00:00+00:00,Arsenal,West Brom,1,0,1
2016-12-26T15:00:00+00:00,Burnley,Middlesbrough,1,0,1
2016-12-26T15:00:00+00:00,Chelsea,Bournemouth,3,0,1
2016-12-26T15:00:00+00:00,Leicester,Everton,0,2,2
2016-12-26T15:00:00+00:00,Manchester United,Sunderland,3,1,1
2016-12-26T15:00:00+00:00,Swansea,West Ham,1,4,2
2016-12-26T12:30:00+00:00,Watford,Crystal Palace,1,1,0
2016-12-19T20:00:00+00:00,Everton,Liverpool,0,1,2
2016-12-18T16:00:00+00:00,Manchester City,Arsenal,2,1,1
2016-12-18T16:00:00+00:00,Tottenham,Burnley,2,1,1
2016-12-18T13:30:00+00:00,Bournemouth,Southampton,1,3,2
2016-12-17T17:30:00+00:00,West Brom,Manchester United,0,2,2
2016-12-17T15:00:00+00:00,Middlesbrough,Swansea,3,0,1
2016-12-17T15:00:00+00:00,Stoke City,Leicester,2,2,0
2016-12-17T15:00:00+00:00,Sunderland,Watford,1,0,1
2016-12-17T15:00:00+00:00,West Ham,Hull City,1,0,1
2016-12-17T12:30:00+00:00,Crystal Palace,Chelsea,0,1,2
2016-12-14T20:00:00+00:00,Crystal Palace,Manchester United,1,2,2
2016-12-14T20:00:00+00:00,Manchester City,Watford,2,0,1
2016-12-14T20:00:00+00:00,Stoke City,Southampton,0,0,0
2016-12-14T20:00:00+00:00,Tottenham,Hull City,3,0,1
2016-12-14T20:00:00+00:00,West Brom,Swansea,3,1,1
2016-12-14T19:45:00+00:00,Middlesbrough,Liverpool,0,3,2
2016-12-14T19:45:00+00:00,Sunderland,Chelsea,0,1,2
2016-12-14T19:45:00+00:00,West Ham,Burnley,1,0,1
2016-12-13T19:45:00+00:00,Bournemouth,Leicester,1,0,1
2016-12-13T19:45:00+00:00,Everton,Arsenal,2,1,1
2016-12-11T16:30:00+00:00,Liverpool,West Ham,2,2,0
2016-12-11T14:15:00+00:00,Manchester United,Tottenham,1,0,1
2016-12-11T14:15:00+00:00,Southampton,Middlesbrough,1,0,1
2016-12-11T12:00:00+00:00,Chelsea,West Brom,1,0,1
2016-12-10T17:30:00+00:00,Leicester,Manchester City,4,2,1
2016-12-10T15:00:00+00:00,Arsenal,Stoke City,3,1,1
2016-12-10T15:00:00+00:00,Burnley,Bournemouth,3,2,1
2016-12-10T15:00:00+00:00,Hull City,Crystal Palace,3,3,0
2016-12-10T15:00:00+00:00,Swansea,Sunderland,3,0,1
2016-12-10T12:30:00+00:00,Watford,Everton,3,2,1
2016-12-05T20:00:00+00:00,Middlesbrough,Hull City,1,0,1
2016-12-04T16:00:00+00:00,Everton,Manchester United,1,1,0
2016-12-04T13:30:00+00:00,Bournemouth,Liverpool,4,3,1
2016-12-03T17:30:00+00:00,West Ham,Arsenal,1,5,2
2016-12-03T15:00:00+00:00,Crystal Palace,Southampton,3,0,1
2016-12-03T15:00:00+00:00,Stoke City,Burnley,2,0,1
2016-12-03T15:00:00+00:00,Sunderland,Leicester,2,1,1
2016-12-03T15:00:00+00:00,Tottenham,Swansea,5,0,1
2016-12-03T15:00:00+00:00,West Brom,Watford,3,1,1
2016-12-03T12:30:00+00:00,Manchester City,Chelsea,1,3,2
2016-11-27T16:30:00+00:00,Manchester United,West Ham,1,1,0
2016-11-27T16:30:00+00:00,Southampton,Everton,1,0,1
2016-11-27T14:15:00+00:00,Arsenal,Bournemouth,3,1,1
2016-11-27T12:00:00+00:00,Watford,Stoke City,0,1,2
2016-11-26T17:30:00+00:00,Chelsea,Tottenham,2,1,1
2016-11-26T15:00:00+00:00,Hull City,West Brom,1,1,0
2016-11-26T15:00:00+00:00,Leicester,Middlesbrough,2,2,0
2016-11-26T15:00:00+00:00,Liverpool,Sunderland,2,0,1
2016-11-26T15:00:00+00:00,Swansea,Crystal Palace,5,4,1
2016-11-26T12:30:00+00:00,Burnley,Manchester City,1,2,2
2016-11-21T20:00:00+00:00,West Brom,Burnley,4,0,1
2016-11-20T16:00:00+00:00,Middlesbrough,Chelsea,0,1,2
2016-11-19T17:30:00+00:00,Tottenham,West Ham,3,2,1
2016-11-19T15:00:00+00:00,Crystal Palace,Manchester City,1,2,2
2016-11-19T15:00:00+00:00,Everton,Swansea,1,1,0
2016-11-19T15:00:00+00:00,Southampton,Liverpool,0,0,0
2016-11-19T15:00:00+00:00,Stoke City,Bournemouth,0,1,2
2016-11-19T15:00:00+00:00,Sunderland,Hull City,3,0,1
2016-11-19T15:00:00+00:00,Watford,Leicester,2,1,1
2016-11-19T12:30:00+00:00,Manchester United,Arsenal,1,1,0
2016-11-06T16:30:00+00:00,Leicester,West Brom,1,2,2
2016-11-06T15:00:00+00:00,Swansea,Manchester United,1,3,2
2016-11-06T14:15:00+00:00,Hull City,Southampton,2,1,1
2016-11-06T14:15:00+00:00,Liverpool,Watford,6,1,1
2016-11-06T12:00:00+00:00,Arsenal,Tottenham,1,1,0
2016-11-05T17:30:00+00:00,Chelsea,Everton,5,0,1
2016-11-05T15:00:00+00:00,Bournemouth,Sunderland,1,2,2
2016-11-05T15:00:00+00:00,Burnley,Crystal Palace,3,2,1
2016-11-05T15:00:00+00:00,Manchester City,Middlesbrough,1,1,0
2016-11-05T15:00:00+00:00,West Ham,Stoke City,1,1,0
2016-10-31T20:00:00+00:00,Stoke City,Swansea,3,1,1
2016-10-30T16:00:00+00:00,Southampton,Chelsea,0,2,2
2016-10-30T13:30:00+00:00,Everton,West Ham,2,0,1
2016-10-29T16:30:00+00:00,Crystal Palace,Liverpool,2,4,2
2016-10-29T14:00:00+00:00,Manchester United,Burnley,0,0,0
2016-10-29T14:00:00+00:00,Middlesbrough,Bournemouth,2,0,1
2016-10-29T14:00:00+00:00,Tottenham,Leicester,1,1,0
2016-10-29T14:00:00+00:00,Watford,Hull City,1,0,1
2016-10-29T14:00:00+00:00,West Brom,Manchester City,0,4,2
2016-10-29T11:30:00+00:00,Sunderland,Arsenal,1,4,2
2016-10-23T15:00:00+00:00,Chelsea,Manchester United,4,0,1
2016-10-23T12:30:00+00:00,Manchester City,Southampton,1,1,0
2016-10-22T16:30:00+00:00,Liverpool,West Brom,2,1,1
2016-10-22T14:00:00+00:00,Arsenal,Middlesbrough,0,0,0
2016-10-22T14:00:00+00:00,Burnley,Everton,2,1,1
2016-10-22T14:00:00+00:00,Hull City,Stoke City,0,2,2
2016-10-22T14:00:00+00:00,Leicester,Crystal Palace,3,1,1
2016-10-22T14:00:00+00:00,Swansea,Watford,0,0,0
2016-10-22T14:00:00+00:00,West Ham,Sunderland,1,0,1
2016-10-22T11:30:00+00:00,Bournemouth,Tottenham,0,0,0
2016-10-17T19:00:00+00:00,Liverpool,Manchester United,0,0,0
2016-10-16T15:00:00+00:00,Southampton,Burnley,3,1,1
2016-10-16T12:30:00+00:00,Middlesbrough,Watford,0,1,2
2016-10-15T16:30:00+00:00,Crystal Palace,West Ham,0,1,2
2016-10-15T14:00:00+00:00,Arsenal,Swansea,3,2,1
2016-10-15T14:00:00+00:00,Bournemouth,Hull City,6,1,1
2016-10-15T14:00:00+00:00,Manchester City,Everton,1,1,0
2016-10-15T14:00:00+00:00,Stoke City,Sunderland,2,0,1
2016-10-15T14:00:00+00:00,West Brom,Tottenham,1,1,0
2016-10-15T11:30:00+00:00,Chelsea,Leicester,3,0,1
2016-10-02T15:30:00+00:00,Burnley,Arsenal,0,1,2
2016-10-02T13:15:00+00:00,Leicester,Southampton,0,0,0
2016-10-02T13:15:00+00:00,Tottenham,Manchester City,2,0,1
2016-10-02T11:00:00+00:00,Manchester United,Stoke City,1,1,0
2016-10-01T14:00:00+00:00,Hull City,Chelsea,0,2,2
2016-10-01T14:00:00+00:00,Sunderland,West Brom,1,1,0
2016-10-01T14:00:00+00:00,Watford,Bournemouth,2,2,0
2016-10-01T14:00:00+00:00,West Ham,Middlesbrough,1,1,0
2016-10-01T11:30:00+00:00,Swansea,Liverpool,1,2,2
2016-09-30T19:00:00+00:00,Everton,Crystal Palace,1,1,0
2016-09-26T19:00:00+00:00,Burnley,Watford,2,0,1
2016-09-25T15:00:00+00:00,West Ham,Southampton,0,3,2
2016-09-24T16:30:00+00:00,Arsenal,Chelsea,3,0,1
2016-09-24T14:00:00+00:00,Bournemouth,Everton,1,0,1
2016-09-24T14:00:00+00:00,Liverpool,Hull City,5,1,1
2016-09-24T14:00:00+00:00,Middlesbrough,Tottenham,1,2,2
2016-09-24T14:00:00+00:00,Stoke City,West Brom,1,1,0
2016-09-24T14:00:00+00:00,Sunderland,Crystal Palace,2,3,2
2016-09-24T14:00:00+00:00,Swansea,Manchester City,1,3,2
2016-09-24T11:30:00+00:00,Manchester United,Leicester,4,1,1
2016-09-18T15:30:00+00:00,Tottenham,Sunderland,1,0,1
2016-09-18T13:15:00+00:00,Crystal Palace,Stoke City,4,1,1
2016-09-18T13:15:00+00:00,Southampton,Swansea,1,0,1
2016-09-18T11:00:00+00:00,Watford,Manchester United,3,1,1
2016-09-17T16:30:00+00:00,Everton,Middlesbrough,3,1,1
2016-09-17T14:00:00+00:00,Hull City,Arsenal,1,4,2
2016-09-17T14:00:00+00:00,Leicester,Burnley,3,0,1
2016-09-17T14:00:00+00:00,Manchester City,Bournemouth,4,0,1
2016-09-17T14:00:00+00:00,West Brom,West Ham,4,2,1
2016-09-16T19:00:00+00:00,Chelsea,Liverpool,1,2,2
2016-09-12T19:00:00+00:00,Sunderland,Everton,0,3,2
2016-09-11T15:00:00+00:00,Swansea,Chelsea,2,2,0
2016-09-10T16:30:00+00:00,Liverpool,Leicester,4,1,1
2016-09-10T14:00:00+00:00,Arsenal,Southampton,2,1,1
2016-09-10T14:00:00+00:00,Bournemouth,West Brom,1,0,1
2016-09-10T14:00:00+00:00,Burnley,Hull City,1,1,0
2016-09-10T14:00:00+00:00,Middlesbrough,Crystal Palace,1,2,2
2016-09-10T14:00:00+00:00,Stoke City,Tottenham,0,4,2
2016-09-10T14:00:00+00:00,West Ham,Watford,2,4,2
2016-09-10T11:30:00+00:00,Manchester United,Manchester City,1,2,2
2016-08-28T15:00:00+00:00,Manchester City,West Ham,3,1,1
2016-08-28T12:30:00+00:00,West Brom,Middlesbrough,0,0,0
2016-08-27T16:30:00+00:00,Hull City,Manchester United,0,1,2
2016-08-27T14:00:00+00:00,Chelsea,Burnley,3,0,1
2016-08-27T14:00:00+00:00,Crystal Palace,Bournemouth,1,1,0
2016-08-27T14:00:00+00:00,Everton,Stoke City,1,0,1
2016-08-27T14:00:00+00:00,Leicester,Swansea,2,1,1
2016-08-27T14:00:00+00:00,Southampton,Sunderland,1,1,0
2016-08-27T14:00:00+00:00,Watford,Arsenal,1,3,2
2016-08-27T11:30:00+00:00,Tottenham,Liverpool,1,1,0
2016-08-21T15:00:00+00:00,West Ham,Bournemouth,1,0,1
2016-08-21T12:30:00+00:00,Sunderland,Middlesbrough,1,2,2
2016-08-20T16:30:00+00:00,Leicester,Arsenal,0,0,0
2016-08-20T14:00:00+00:00,Burnley,Liverpool,2,0,1
2016-08-20T14:00:00+00:00,Swansea,Hull City,0,2,2
2016-08-20T14:00:00+00:00,Tottenham,Crystal Palace,1,0,1
2016-08-20T14:00:00+00:00,Watford,Chelsea,1,2,2
2016-08-20T14:00:00+00:00,West Brom,Everton,1,2,2
2016-08-20T11:30:00+00:00,Stoke City,Manchester City,1,4,2
2016-08-19T19:00:00+00:00,Manchester United,Southampton,2,0,1
2016-08-15T19:00:00+00:00,Chelsea,West Ham,2,1,1
2016-08-14T15:00:00+00:00,Arsenal,Liverpool,3,4,2
2016-08-14T12:30:00+00:00,Bournemouth,Manchester United,1,3,2
2016-08-13T16:30:00+00:00,Manchester City,Sunderland,2,1,1
2016-08-13T14:00:00+00:00,Burnley,Swansea,0,1,2
2016-08-13T14:00:00+00:00,Crystal Palace,West Brom,0,1,2
2016-08-13T14:00:00+00:00,Everton,Tottenham,1,1,0
2016-08-13T14:00:00+00:00,Middlesbrough,Stoke City,1,1,0
2016-08-13T14:00:00+00:00,Southampton,Watford,1,1,0
2016-08-13T11:30:00+00:00,Hull City,Leicester,2,1,1
2017-12-31T16:30:00+00:00,West Brom,Arsenal,1,1,0
2017-12-31T12:00:00+00:00,Crystal Palace,Manchester City,0,0,0
2017-12-30T17:30:00+00:00,Manchester United,Southampton,0,0,0
2017-12-30T15:00:00+00:00,Bournemouth,Everton,2,1,1
2017-12-30T15:00:00+00:00,Chelsea,Stoke City,5,0,1
2017-12-30T15:00:00+00:00,Huddersfield,Burnley,0,0,0
2017-12-30T15:00:00+00:00,Liverpool,Leicester,2,1,1
2017-12-30T15:00:00+00:00,Newcastle,Brighton,0,0,0
2017-12-30T15:00:00+00:00,Watford,Swansea,1,2,2
2017-12-28T20:00:00+00:00,Crystal Palace,Arsenal,2,3,2
2017-12-27T19:45:00+00:00,Newcastle,Manchester City,0,1,2
2017-12-26T17:30:00+00:00,Liverpool,Swansea,5,0,1
2017-12-26T15:00:00+00:00,Bournemouth,West Ham,3,3,0
2017-12-26T15:00:00+00:00,Chelsea,Brighton,2,0,1
2017-12-26T15:00:00+00:00,Huddersfield,Stoke City,1,1,0
2017-12-26T15:00:00+00:00,Manchester United,Burnley,2,2,0
2017-12-26T15:00:00+00:00,Watford,Leicester,2,1,1
2017-12-26T15:00:00+00:00,West Brom,Everton,0,0,0
2017-12-26T12:30:00+00:00,Tottenham,Southampton,5,2,1
2017-12-23T19:45:00+00:00,Leicester,Manchester United,2,2,0
2017-12-23T17:30:00+00:00,Burnley,Tottenham,0,3,2
2017-12-23T15:00:00+00:00,Brighton,Watford,1,0,1
2017-12-23T15:00:00+00:00,Manchester City,Bournemouth,4,0,1
2017-12-23T15:00:00+00:00,Southampton,Huddersfield,1,1,0
2017-12-23T15:00:00+00:00,Stoke City,West Brom,3,1,1
2017-12-23T15:00:00+00:00,Swansea,Crystal Palace,1,1,0
2017-12-23T15:00:00+00:00,West Ham,Newcastle,2,3,2
2017-12-23T12:30:00+00:00,Everton,Chelsea,0,0,0
